strategy_id,strategy_name,dte_profile,recommendation,rationale,entries,exits,wins,losses,avg_return_pct,med_return_pct,p10_return_pct,p25_return_pct,p90_return_pct,realized_usd,active_days,days_since_first_entry,entries_last_5d,exits_last_5d,unique_symbols,top_symbol_share_pct
S406,RubberBand_ITM3,3d,watch,fat left tail (p10 < -45%),116,55,35,20,189.85,66.67,-63.41,-50.0,965.79,2982.0,7,11,26,7,9,23.6
S357,GapDown_21DTE,21d,watch,building sample (8-19 exits),40,18,14,4,32.91,55.07,-67.86,47.06,73.68,323.0,7,11,0,4,3,44.4
S403,Any_MA50_Touch,3d,watch,fat left tail (p10 < -45%),56,24,16,8,77.68,50.88,-79.49,-53.41,316.0,464.0,3,11,28,10,5,37.5
S397,GapDown_ITM1,3d,watch,building sample (8-19 exits),69,12,9,3,37.55,47.52,-88.28,14.51,116.23,304.0,2,11,12,0,3,58.3
S218,BB_Lower_Touch,3d ATM BB lower touch,watch,fat left tail (p10 < -45%),124,56,34,22,63.15,46.77,-72.6,-46.88,166.67,966.0,7,15,26,9,7,44.6
S404,GapDown_OTM2,3d,watch,building sample (8-19 exits),68,19,12,7,9.48,45.07,-98.18,-91.67,110.09,190.0,3,11,12,2,3,47.4
S362,RubberBand_3DTE,3d,watch,fat left tail (p10 < -45%),83,35,24,11,86.51,25.45,-67.0,-42.02,111.91,1036.0,5,11,12,7,5,37.1
S350,GapDown_0DTE,0d,watch,fat left tail (p10 < -45%),67,34,18,16,40.1,13.38,-65.49,-54.17,182.75,447.0,5,11,8,2,5,38.2
S401,Any_Gap_Down_Small,3d,watch,fat left tail (p10 < -45%),133,72,39,33,50.2,12.7,-93.88,-46.76,160.0,948.0,7,11,39,26,8,40.3
S411,RubberBand_OTM2,3d,watch,fat left tail (p10 < -45%),77,28,16,12,-7.91,7.69,-57.17,-52.08,40.33,-187.0,4,8,8,1,6,32.1
S210,MA_Cross_8_21,3d ATM MA cross 8/21,watch,fat left tail (p10 < -45%),122,56,30,26,16.22,7.34,-84.44,-45.54,80.44,7.0,3,15,29,20,6,26.8
S163,A1 GapDown ATM call EOD,7d ATM,watch,insufficient sample (<8 exits),83,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,21,0,0,0,0.0
S166,GapDown strong call,3d ATM strong,watch,insufficient sample (<8 exits),36,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,21,0,0,0,0.0
S167,GapDown long call 3 DTE 1-OTM — P2C,3d 1-OTM,watch,insufficient sample (<8 exits),88,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,21,0,0,0,0.0
S168,GapDown ATM 5-DTE — P2B arm,5d ATM,watch,insufficient sample (<8 exits),68,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,21,0,0,0,0.0
S169,BB Squeeze Breakout call 3 DTE,3d ATM BB squeeze,watch,insufficient sample (<8 exits),0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,0,0.0
S170,Golden Pocket call 3 DTE,3d ATM golden pocket,watch,insufficient sample (<8 exits),0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,0,0.0
S171,VWAP Reclaim call 3 DTE,3d ATM VWAP reclaim,watch,insufficient sample (<8 exits),0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,0,0.0
S172,Trend Resumption call 3 DTE,3d ATM trend resume,watch,insufficient sample (<8 exits),0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,0,0.0
