strategy_id,strategy_name,dte_profile,recommendation,rationale,entries,exits,wins,losses,avg_return_pct,med_return_pct,p10_return_pct,p25_return_pct,p90_return_pct,realized_usd,active_days,days_since_first_entry,entries_last_5d,exits_last_5d,unique_symbols,top_symbol_share_pct
S406,RubberBand_ITM3,3d,watch,fat left tail (p10 < -45%),91,48,28,20,180.98,62.47,-64.04,-51.22,965.79,2755.0,5,10,22,1,8,27.1
S357,GapDown_21DTE,21d,watch,building sample (8-19 exits),40,16,14,2,44.43,58.87,-17.77,47.06,73.68,400.0,6,10,0,4,3,50.0
S364,RubberBand_7DTE,7d,watch,fat left tail (p10 < -45%),61,27,18,9,41.65,57.58,-65.0,-43.27,188.89,375.0,6,10,17,4,4,44.4
S350,GapDown_0DTE,0d,watch,fat left tail (p10 < -45%),61,28,18,10,61.61,57.34,-61.37,-28.26,212.0,609.0,4,10,8,2,5,46.4
S397,GapDown_ITM1,3d,watch,building sample (8-19 exits),56,11,9,2,46.21,51.39,-91.67,39.48,116.39,345.0,2,10,2,2,2,63.6
S218,BB_Lower_Touch,3d ATM BB lower touch,watch,fat left tail (p10 < -45%),104,50,33,17,72.12,50.0,-73.77,-52.83,173.57,1010.0,7,14,18,5,6,44.0
S403,Any_MA50_Touch,3d,watch,building sample (8-19 exits),36,18,10,8,59.3,49.56,-80.36,-63.57,317.2,199.0,3,10,8,4,4,33.3
S398,GapDown_ATM,3d,watch,fat left tail (p10 < -45%),75,34,20,14,44.17,48.98,-57.24,-39.29,157.11,799.0,5,10,8,6,4,44.1
S408,RubberBand_ITM1,3d,watch,fat left tail (p10 < -45%),76,36,20,16,197.29,43.55,-64.09,-50.0,880.61,1282.0,5,7,18,2,6,27.8
S352,GapDown_2DTE,2d,watch,fat left tail (p10 < -45%),74,22,13,9,37.02,39.01,-64.86,-51.85,134.17,221.0,5,10,14,9,5,27.3
S404,GapDown_OTM2,3d,watch,building sample (8-19 exits),56,17,10,7,4.39,38.6,-98.18,-91.67,113.61,113.0,2,10,0,7,2,52.9
S362,RubberBand_3DTE,3d,watch,fat left tail (p10 < -45%),73,31,24,7,105.63,38.24,-57.89,8.7,114.29,1178.0,4,10,2,3,5,41.9
S356,GapDown_14DTE,14d,watch,insufficient sample (<8 exits),36,6,4,2,16.13,37.93,-48.15,-25.24,58.62,60.0,3,10,0,2,1,100.0
S401,Any_Gap_Down_Small,3d,watch,fat left tail (p10 < -45%),100,52,31,21,51.39,26.95,-92.8,-31.46,160.0,970.0,6,10,24,9,7,32.7
S210,MA_Cross_8_21,3d ATM MA cross 8/21,watch,fat left tail (p10 < -45%),97,43,26,17,8.39,13.89,-56.39,-25.31,74.04,54.0,3,14,15,7,5,34.9
S363,RubberBand_5DTE,5d,watch,building sample (8-19 exits),42,18,11,7,-1.66,8.33,-89.04,-72.98,75.97,-100.0,4,7,14,7,3,44.4
