strategy_id,quality,n,win_pct,med_pct,avg_pct,pnl_usd,verdict
S363,CLEAN,14,50.0,1.9,6.1,-79.0,KEEP
S399,CLEAN,20,50.0,17.7,159.0,165.0,KEEP
S174,CLEAN,54,68.5,30.1,5.5,324.81,KEEP
S356,CLEAN,15,60.0,42.0,13.2,54.0,KEEP
S365,CLEAN,17,58.8,48.0,12.1,34.0,KEEP
S210,CLEAN,29,55.2,48.3,13.9,73.0,KEEP
S403,CLEAN,36,61.1,49.6,23.0,459.0,KEEP
S401,CLEAN,34,58.8,50.0,64.3,689.0,KEEP
S173,CLEAN,105,61.9,51.6,43.1,2561.64,KEEP
S218,CLEAN,34,58.8,53.1,50.5,634.0,KEEP
S364,CLEAN,25,60.0,53.1,27.0,107.0,KEEP
S404,CLEAN,29,65.5,53.2,34.5,687.0,KEEP
S355,CLEAN,34,52.9,53.6,44.5,525.0,KEEP
S357,CLEAN,12,75.0,55.0,34.6,220.0,KEEP
S354,CLEAN,22,54.5,60.2,29.1,273.0,KEEP
S361,CLEAN,18,72.2,63.9,231.8,315.0,KEEP
S350,CLEAN,20,55.0,64.9,72.2,332.0,KEEP
S397,CLEAN,21,81.0,68.5,57.9,752.0,KEEP
S406,CLEAN,31,71.0,76.9,180.4,762.0,KEEP
S163,CLEAN,12,100.0,81.1,100.2,515.0,KEEP
S362,CLEAN,18,83.3,86.7,282.3,726.0,KEEP
S353,CLEAN,13,61.5,114.3,179.9,167.0,KEEP
S168,CLEAN,13,69.2,116.2,96.9,438.0,KEEP
S212,CLEAN,18,5.6,-64.7,-63.5,-584.0,KILL
S360,CLEAN,17,11.8,-60.8,-49.2,-371.0,KILL
S202,CLEAN,10,0.0,-60.5,-58.8,-191.0,KILL
S405,CLEAN,24,33.3,-57.4,-4.1,-38.0,KILL
S407,CLEAN,10,40.0,-57.0,-5.4,-50.0,KILL
S203,CLEAN,12,0.0,-56.9,-57.9,-261.0,KILL
S207,CLEAN,13,15.4,-54.3,-40.5,-341.0,KILL
ORPHAN,CLEAN,124,24.2,-53.9,11.4,4142.29,KILL
S216,CLEAN,16,31.2,-51.7,-24.1,-122.0,KILL
S164,CLEAN,14,28.6,-50.0,48.9,144.0,KILL
S351,CLEAN,22,18.2,-50.0,13.1,15.0,KILL
S411,CLEAN,19,42.1,-49.3,-7.3,-109.0,KILL
S366,CLEAN,13,38.5,-49.1,-1.5,-52.0,KILL
S412,CLEAN,27,48.1,-47.5,11.4,-56.0,KILL
S211,CLEAN,15,33.3,-46.1,-16.6,-73.0,KILL
S408,CLEAN,22,31.8,-45.6,16.7,29.0,KILL
S217,CLEAN,33,45.5,-44.0,51.3,309.0,KILL
S398,CLEAN,25,48.0,-41.4,36.9,380.0,KILL
S352,CLEAN,21,47.6,-38.2,84.7,13.0,KILL
S209,CLEAN,2,0.0,-82.8,-82.8,-92.0,WATCH
S367,CLEAN,2,0.0,-38.2,-38.2,-55.0,WATCH
S400,CLEAN,4,25.0,-36.1,-17.5,15.0,WATCH
S165,CLEAN,65,40.0,-7.7,30.9,719.22,WATCH
S359,CLEAN,16,50.0,-1.7,115.1,5.0,WATCH
S358,CLEAN,4,50.0,0.8,1.3,-21.0,WATCH
S167,CLEAN,8,50.0,25.3,127.5,206.0,WATCH
UNKNOWN,CLEAN,4,100.0,55.7,61.5,747.86,WATCH
S410,CLEAN,8,62.5,58.3,25.3,131.0,WATCH
S166,CLEAN,6,100.0,75.2,113.5,321.0,WATCH
S396,CLEAN,5,100.0,93.1,93.0,301.0,WATCH
