strategy_id,quality,n,win_pct,med_pct,avg_pct,pnl_usd,verdict
S399,CLEAN,20,50.0,17.7,159.0,165.0,KEEP
S174,CLEAN,54,68.5,30.1,5.5,324.81,KEEP
S412,CLEAN,25,52.0,37.5,16.4,-1.0,KEEP
S352,CLEAN,19,52.6,38.9,98.6,51.0,KEEP
S210,CLEAN,29,55.2,48.3,13.9,73.0,KEEP
S218,CLEAN,30,53.3,48.9,49.0,517.0,KEEP
S403,CLEAN,34,61.8,49.6,22.5,445.0,KEEP
S355,CLEAN,33,51.5,50.0,43.8,496.0,KEEP
S401,CLEAN,33,57.6,50.0,60.6,619.0,KEEP
S173,CLEAN,105,61.9,51.6,43.1,2561.64,KEEP
S357,CLEAN,11,72.7,52.9,31.3,178.0,KEEP
S364,CLEAN,21,61.9,53.1,30.3,112.0,KEEP
S363,CLEAN,12,58.3,56.8,15.4,-24.0,KEEP
S404,CLEAN,26,73.1,59.6,44.4,778.0,KEEP
S354,CLEAN,22,54.5,60.2,29.1,273.0,KEEP
S361,CLEAN,18,72.2,63.9,231.8,315.0,KEEP
S350,CLEAN,20,55.0,64.9,72.2,332.0,KEEP
S397,CLEAN,20,85.0,70.2,63.6,785.0,KEEP
S406,CLEAN,31,71.0,76.9,180.4,762.0,KEEP
S163,CLEAN,12,100.0,81.1,100.2,515.0,KEEP
S362,CLEAN,18,83.3,86.7,282.3,726.0,KEEP
S353,CLEAN,13,61.5,114.3,179.9,167.0,KEEP
S168,CLEAN,13,69.2,116.2,96.9,438.0,KEEP
S212,CLEAN,18,5.6,-64.7,-63.5,-584.0,KILL
S360,CLEAN,17,11.8,-60.8,-49.2,-371.0,KILL
S202,CLEAN,10,0.0,-60.5,-58.8,-191.0,KILL
S405,CLEAN,24,33.3,-57.4,-4.1,-38.0,KILL
S407,CLEAN,10,40.0,-57.0,-5.4,-50.0,KILL
S203,CLEAN,12,0.0,-56.9,-57.9,-261.0,KILL
ORPHAN,CLEAN,122,23.8,-54.4,10.4,4073.56,KILL
S207,CLEAN,13,15.4,-54.3,-40.5,-341.0,KILL
S216,CLEAN,16,31.2,-51.7,-24.1,-122.0,KILL
S366,CLEAN,12,33.3,-50.4,-5.7,-77.0,KILL
S164,CLEAN,12,33.3,-50.0,73.2,206.0,KILL
S351,CLEAN,22,18.2,-50.0,13.1,15.0,KILL
S411,CLEAN,17,41.2,-49.3,-10.7,-112.0,KILL
S365,CLEAN,13,46.2,-48.3,-5.5,-85.0,KILL
S356,CLEAN,11,45.5,-46.3,-6.2,-61.0,KILL
S211,CLEAN,15,33.3,-46.1,-16.6,-73.0,KILL
S217,CLEAN,32,46.9,-45.9,54.3,331.0,KILL
S408,CLEAN,21,33.3,-44.1,22.1,48.0,KILL
S398,CLEAN,25,48.0,-41.4,36.9,380.0,KILL
S209,CLEAN,2,0.0,-82.8,-82.8,-92.0,WATCH
S367,CLEAN,2,0.0,-38.2,-38.2,-55.0,WATCH
S400,CLEAN,4,25.0,-36.1,-17.5,15.0,WATCH
S165,CLEAN,65,40.0,-7.7,30.9,719.22,WATCH
S359,CLEAN,16,50.0,-1.7,115.1,5.0,WATCH
S358,CLEAN,4,50.0,0.8,1.3,-21.0,WATCH
S167,CLEAN,8,50.0,25.3,127.5,206.0,WATCH
S410,CLEAN,7,57.1,51.4,14.4,70.0,WATCH
UNKNOWN,CLEAN,4,100.0,55.7,61.5,747.86,WATCH
S166,CLEAN,6,100.0,75.2,113.5,321.0,WATCH
S396,CLEAN,3,100.0,93.1,87.8,180.0,WATCH
