strategy_id,quality,n,win_pct,med_pct,avg_pct,pnl_usd,verdict
S359,CLEAN,12,50.0,3.9,155.8,4.0,KEEP
S355,CLEAN,32,50.0,6.4,43.4,460.0,KEEP
S174,CLEAN,54,68.5,30.1,5.5,324.81,KEEP
S352,CLEAN,14,57.1,43.3,74.8,56.0,KEEP
S210,CLEAN,21,52.4,44.8,12.7,-33.0,KEEP
S401,CLEAN,29,55.2,47.4,65.0,563.0,KEEP
S218,CLEAN,24,54.2,48.9,58.5,433.0,KEEP
S403,CLEAN,28,53.6,49.6,15.7,291.0,KEEP
S173,CLEAN,105,61.9,51.6,43.1,2561.64,KEEP
S364,CLEAN,21,61.9,53.1,30.3,112.0,KEEP
S399,CLEAN,17,58.8,53.3,195.6,218.0,KEEP
S357,CLEAN,10,80.0,55.0,43.3,218.0,KEEP
S363,CLEAN,12,58.3,56.8,15.4,-24.0,KEEP
S398,CLEAN,20,60.0,57.5,60.1,498.0,KEEP
S354,CLEAN,22,54.5,60.2,29.1,273.0,KEEP
S404,CLEAN,20,90.0,66.7,65.0,870.0,KEEP
S412,CLEAN,16,62.5,67.1,36.1,60.0,KEEP
S397,CLEAN,17,94.1,71.8,76.0,795.0,KEEP
S361,CLEAN,13,84.6,81.8,322.7,345.0,KEEP
S350,CLEAN,17,64.7,94.1,93.4,402.0,KEEP
S406,CLEAN,24,70.8,100.0,221.2,767.0,KEEP
S362,CLEAN,16,81.2,108.6,309.9,693.0,KEEP
S353,CLEAN,10,80.0,147.6,253.1,249.0,KEEP
S212,CLEAN,18,5.6,-64.7,-63.5,-584.0,KILL
S360,CLEAN,17,11.8,-60.8,-49.2,-371.0,KILL
ORPHAN,CLEAN,104,24.0,-59.5,14.7,4169.43,KILL
S405,CLEAN,24,33.3,-57.4,-4.1,-38.0,KILL
S407,CLEAN,10,40.0,-57.0,-5.4,-50.0,KILL
S203,CLEAN,12,0.0,-56.9,-57.9,-261.0,KILL
S207,CLEAN,13,15.4,-54.3,-40.5,-341.0,KILL
S366,CLEAN,10,20.0,-52.6,-26.5,-181.0,KILL
S216,CLEAN,10,40.0,-51.7,-13.9,-36.0,KILL
S217,CLEAN,27,37.0,-50.0,50.7,107.0,KILL
S351,CLEAN,18,22.2,-50.0,27.7,112.0,KILL
S411,CLEAN,12,33.3,-50.0,-21.3,-163.0,KILL
S365,CLEAN,10,30.0,-49.6,-21.2,-156.0,KILL
S164,CLEAN,10,40.0,-49.0,98.5,268.0,KILL
S211,CLEAN,14,35.7,-45.8,-14.0,-35.0,KILL
S408,CLEAN,18,38.9,-43.5,35.0,54.0,KILL
S209,CLEAN,2,0.0,-82.8,-82.8,-92.0,WATCH
S202,CLEAN,9,0.0,-63.9,-60.1,-170.0,WATCH
S356,CLEAN,8,25.0,-50.0,-26.6,-132.0,WATCH
S367,CLEAN,2,0.0,-38.2,-38.2,-55.0,WATCH
S400,CLEAN,4,25.0,-36.1,-17.5,15.0,WATCH
S165,CLEAN,64,40.6,-7.7,32.2,751.22,WATCH
S358,CLEAN,4,50.0,0.8,1.3,-21.0,WATCH
S410,CLEAN,6,50.0,8.4,8.3,33.0,WATCH
UNKNOWN,CLEAN,4,100.0,55.7,61.5,747.86,WATCH
S166,CLEAN,4,100.0,75.2,85.3,178.0,WATCH
S163,CLEAN,9,100.0,82.8,111.8,394.0,WATCH
S396,CLEAN,3,100.0,93.1,87.8,180.0,WATCH
S168,CLEAN,7,100.0,217.1,188.9,479.0,WATCH
S167,CLEAN,4,100.0,318.3,318.5,314.0,WATCH
