strategy_id,quality,n,win_pct,med_pct,avg_pct,pnl_usd,verdict
S174,CLEAN,54,68.5,30.1,5.5,324.81,KEEP
S356,CLEAN,15,60.0,42.0,13.2,54.0,KEEP
S218,CLEAN,39,51.3,47.8,38.4,533.0,KEEP
S365,CLEAN,17,58.8,48.0,12.1,34.0,KEEP
S210,CLEAN,29,55.2,48.3,13.9,73.0,KEEP
S403,CLEAN,36,61.1,49.6,23.0,459.0,KEEP
S364,CLEAN,28,53.6,50.0,15.5,-7.0,KEEP
S401,CLEAN,37,56.8,50.0,58.4,665.0,KEEP
S173,CLEAN,105,61.9,51.6,43.1,2561.64,KEEP
S399,CLEAN,27,51.9,52.6,124.7,228.0,KEEP
S357,CLEAN,12,75.0,55.0,34.6,220.0,KEEP
S404,CLEAN,40,70.0,57.9,38.8,1052.0,KEEP
S361,CLEAN,20,65.0,59.1,203.6,295.0,KEEP
S350,CLEAN,20,55.0,64.9,72.2,332.0,KEEP
S362,CLEAN,20,75.0,68.6,249.0,716.0,KEEP
S406,CLEAN,41,65.9,68.8,139.9,852.0,KEEP
S163,CLEAN,16,75.0,71.7,57.7,390.0,KEEP
S397,CLEAN,24,83.3,72.7,61.9,943.0,KEEP
S353,CLEAN,14,57.1,81.6,163.3,143.0,KEEP
S168,CLEAN,15,60.0,102.7,74.2,369.0,KEEP
S212,CLEAN,18,5.6,-64.7,-63.5,-584.0,KILL
S360,CLEAN,17,11.8,-60.8,-49.2,-371.0,KILL
S202,CLEAN,10,0.0,-60.5,-58.8,-191.0,KILL
S405,CLEAN,24,33.3,-57.4,-4.1,-38.0,KILL
S407,CLEAN,10,40.0,-57.0,-5.4,-50.0,KILL
S203,CLEAN,12,0.0,-56.9,-57.9,-261.0,KILL
S207,CLEAN,13,15.4,-54.3,-40.5,-341.0,KILL
S363,CLEAN,18,38.9,-52.4,-13.4,-234.0,KILL
S216,CLEAN,20,30.0,-51.6,-24.5,-165.0,KILL
S354,CLEAN,28,42.9,-51.2,7.2,72.0,KILL
S164,CLEAN,14,28.6,-50.0,48.9,144.0,KILL
S351,CLEAN,22,18.2,-50.0,13.1,15.0,KILL
S398,CLEAN,27,44.4,-50.0,29.9,327.0,KILL
S366,CLEAN,13,38.5,-49.1,-1.5,-52.0,KILL
ORPHAN,CLEAN,144,22.9,-48.0,6.1,3877.63,KILL
S217,CLEAN,35,42.9,-48.0,45.2,264.0,KILL
S412,CLEAN,27,48.1,-47.5,11.4,-56.0,KILL
S359,CLEAN,17,47.1,-46.7,105.4,0.0,KILL
S211,CLEAN,15,33.3,-46.1,-16.6,-73.0,KILL
S408,CLEAN,25,36.0,-42.9,17.8,69.0,KILL
S355,CLEAN,39,46.2,-41.3,28.9,348.0,KILL
S352,CLEAN,21,47.6,-38.2,84.7,13.0,KILL
S209,CLEAN,2,0.0,-82.8,-82.8,-92.0,WATCH
S367,CLEAN,3,0.0,-48.9,-41.8,-77.0,WATCH
S400,CLEAN,4,25.0,-36.1,-17.5,15.0,WATCH
S411,CLEAN,22,50.0,-17.8,5.1,59.0,WATCH
S165,CLEAN,65,40.0,-7.7,30.9,719.22,WATCH
S358,CLEAN,4,50.0,0.8,1.3,-21.0,WATCH
S167,CLEAN,8,50.0,25.3,127.5,206.0,WATCH
UNKNOWN,CLEAN,4,100.0,55.7,61.5,747.86,WATCH
S410,CLEAN,8,62.5,58.3,25.3,131.0,WATCH
S166,CLEAN,6,100.0,75.2,113.5,321.0,WATCH
S396,CLEAN,5,100.0,93.1,93.0,301.0,WATCH
