strategy_id,quality,n,win_pct,med_pct,avg_pct,pnl_usd,verdict
S174,CLEAN,54,68.5,30.1,5.5,324.81,KEEP
S352,CLEAN,19,52.6,38.9,98.6,51.0,KEEP
S359,CLEAN,15,53.3,43.3,126.2,29.0,KEEP
S210,CLEAN,29,55.2,48.3,13.9,73.0,KEEP
S401,CLEAN,30,56.7,48.7,64.5,584.0,KEEP
S218,CLEAN,30,53.3,48.9,49.0,517.0,KEEP
S398,CLEAN,22,54.5,49.0,50.1,442.0,KEEP
S403,CLEAN,32,59.4,49.6,20.1,383.0,KEEP
S355,CLEAN,33,51.5,50.0,43.8,496.0,KEEP
S173,CLEAN,105,61.9,51.6,43.1,2561.64,KEEP
S399,CLEAN,19,52.6,52.6,169.6,175.0,KEEP
S357,CLEAN,11,72.7,52.9,31.3,178.0,KEEP
S364,CLEAN,21,61.9,53.1,30.3,112.0,KEEP
S363,CLEAN,12,58.3,56.8,15.4,-24.0,KEEP
S404,CLEAN,26,73.1,59.6,44.4,778.0,KEEP
S354,CLEAN,22,54.5,60.2,29.1,273.0,KEEP
S412,CLEAN,21,61.9,62.9,31.4,80.0,KEEP
S350,CLEAN,20,55.0,64.9,72.2,332.0,KEEP
S397,CLEAN,20,85.0,70.2,63.6,785.0,KEEP
S406,CLEAN,30,73.3,76.9,187.7,788.0,KEEP
S361,CLEAN,14,85.7,80.9,304.4,363.0,KEEP
S163,CLEAN,12,100.0,81.1,100.2,515.0,KEEP
S362,CLEAN,18,83.3,86.7,282.3,726.0,KEEP
S168,CLEAN,11,81.8,118.9,128.1,486.0,KEEP
S353,CLEAN,12,66.7,119.0,199.9,200.0,KEEP
S212,CLEAN,18,5.6,-64.7,-63.5,-584.0,KILL
S360,CLEAN,17,11.8,-60.8,-49.2,-371.0,KILL
S202,CLEAN,10,0.0,-60.5,-58.8,-191.0,KILL
ORPHAN,CLEAN,113,25.7,-57.4,14.8,4245.06,KILL
S405,CLEAN,24,33.3,-57.4,-4.1,-38.0,KILL
S407,CLEAN,10,40.0,-57.0,-5.4,-50.0,KILL
S203,CLEAN,12,0.0,-56.9,-57.9,-261.0,KILL
S207,CLEAN,13,15.4,-54.3,-40.5,-341.0,KILL
S216,CLEAN,13,30.8,-51.7,-23.7,-107.0,KILL
S366,CLEAN,12,33.3,-50.4,-5.7,-77.0,KILL
S164,CLEAN,11,36.4,-50.0,84.4,236.0,KILL
S351,CLEAN,22,18.2,-50.0,13.1,15.0,KILL
S411,CLEAN,16,43.8,-49.3,-8.3,-78.0,KILL
S365,CLEAN,13,46.2,-48.3,-5.5,-85.0,KILL
S356,CLEAN,11,45.5,-46.3,-6.2,-61.0,KILL
S217,CLEAN,32,46.9,-45.9,54.3,331.0,KILL
S211,CLEAN,14,35.7,-45.8,-14.0,-35.0,KILL
S408,CLEAN,21,33.3,-44.1,22.1,48.0,KILL
S209,CLEAN,2,0.0,-82.8,-82.8,-92.0,WATCH
S367,CLEAN,2,0.0,-38.2,-38.2,-55.0,WATCH
S400,CLEAN,4,25.0,-36.1,-17.5,15.0,WATCH
S165,CLEAN,64,40.6,-7.7,32.2,751.22,WATCH
S358,CLEAN,4,50.0,0.8,1.3,-21.0,WATCH
S410,CLEAN,7,57.1,51.4,14.4,70.0,WATCH
UNKNOWN,CLEAN,4,100.0,55.7,61.5,747.86,WATCH
S166,CLEAN,6,100.0,75.2,113.5,321.0,WATCH
S396,CLEAN,3,100.0,93.1,87.8,180.0,WATCH
S167,CLEAN,6,66.7,116.0,193.9,252.0,WATCH
