strategy_id,quality,n,win_pct,med_pct,avg_pct,pnl_usd,verdict
S364,CLEAN,12,50.0,0.0,-3.0,-72.0,KEEP
S403,CLEAN,12,50.0,0.8,-3.7,-29.0,KEEP
S398,CLEAN,16,50.0,3.8,46.9,359.0,KEEP
S174,CLEAN,54,68.5,30.1,5.5,324.81,KEEP
S401,CLEAN,23,56.5,47.4,53.9,358.0,KEEP
S218,CLEAN,17,52.9,47.8,67.3,320.0,KEEP
S173,CLEAN,105,61.9,51.6,43.1,2561.64,KEEP
S210,CLEAN,13,76.9,57.1,44.8,136.0,KEEP
S397,CLEAN,11,100.0,57.5,76.3,538.0,KEEP
S350,CLEAN,12,58.3,64.9,30.4,85.0,KEEP
S406,CLEAN,15,60.0,72.5,137.7,544.0,KEEP
S404,CLEAN,12,100.0,80.1,79.4,584.0,KEEP
S212,CLEAN,14,0.0,-64.7,-70.5,-544.0,KILL
S360,CLEAN,15,13.3,-62.1,-48.1,-320.0,KILL
ORPHAN,CLEAN,74,23.0,-60.0,-18.2,4366.35,KILL
S405,CLEAN,22,36.4,-54.7,4.2,67.0,KILL
S207,CLEAN,13,15.4,-54.3,-40.5,-341.0,KILL
S351,CLEAN,13,7.7,-52.9,-34.1,-108.0,KILL
S217,CLEAN,16,37.5,-52.3,95.2,180.0,KILL
S354,CLEAN,16,37.5,-51.2,12.2,46.0,KILL
S211,CLEAN,10,30.0,-45.8,-20.6,-94.0,KILL
S408,CLEAN,16,31.2,-45.6,32.3,45.0,KILL
S355,CLEAN,20,40.0,-45.1,35.0,278.0,KILL
S165,CLEAN,61,37.7,-24.2,20.4,507.22,KILL
S209,CLEAN,2,0.0,-82.8,-82.8,-92.0,WATCH
S410,CLEAN,3,33.3,-68.5,-15.0,-39.0,WATCH
S202,CLEAN,9,0.0,-63.9,-60.1,-170.0,WATCH
S203,CLEAN,8,0.0,-56.4,-62.1,-217.0,WATCH
S366,CLEAN,8,0.0,-55.2,-54.5,-268.0,WATCH
S164,CLEAN,5,0.0,-53.6,-64.0,-51.0,WATCH
S399,CLEAN,7,28.6,-52.8,-5.9,-5.0,WATCH
S216,CLEAN,7,42.9,-51.7,-5.9,-30.0,WATCH
S365,CLEAN,7,0.0,-51.6,-56.9,-230.0,WATCH
S358,CLEAN,3,33.3,-51.4,-15.9,-47.0,WATCH
S353,CLEAN,3,33.3,-50.8,0.1,-10.0,WATCH
S356,CLEAN,7,14.3,-50.0,-37.8,-158.0,WATCH
S400,CLEAN,3,0.0,-50.0,-40.7,-10.0,WATCH
S359,CLEAN,9,33.3,-46.7,-12.9,-135.0,WATCH
S367,CLEAN,2,0.0,-38.2,-38.2,-55.0,WATCH
S407,CLEAN,8,50.0,-7.6,13.9,46.0,WATCH
S412,CLEAN,10,50.0,-7.1,13.9,-43.0,WATCH
S411,CLEAN,7,57.1,13.1,0.0,-29.0,WATCH
S352,CLEAN,6,66.7,43.3,13.7,33.0,WATCH
S357,CLEAN,5,60.0,47.1,5.1,11.0,WATCH
S361,CLEAN,6,66.7,50.4,28.7,57.0,WATCH
S363,CLEAN,9,55.6,52.9,9.3,-22.0,WATCH
S362,CLEAN,8,62.5,54.4,163.0,370.0,WATCH
UNKNOWN,CLEAN,4,100.0,55.7,61.5,747.86,WATCH
