strategy_id,strategy_name,dte_profile,recommendation,rationale,entries,exits,wins,losses,avg_return_pct,med_return_pct,p10_return_pct,p25_return_pct,p90_return_pct,realized_usd,active_days,days_since_first_entry,entries_last_5d,exits_last_5d,unique_symbols,top_symbol_share_pct
S167,GapDown long call 3 DTE 1-OTM — P2C,3d 1-OTM,watch,building sample (8-19 exits),125,12,8,4,165.65,134.06,-70.23,-55.36,492.33,403.0,4,65,7,0,4,50.0
S396,GapDown_ITM2,3d,watch,insufficient sample (<8 exits),30,6,5,1,63.82,89.03,-3.8,77.19,106.25,241.0,3,49,2,0,1,100.0
S409,RubberBand_ATM,3d,watch,insufficient sample (<8 exits),2,2,2,0,81.94,81.94,79.72,80.56,84.17,118.0,1,0,2,2,1,100.0
S168,GapDown ATM 5-DTE — P2B arm,5d ATM,watch,fat left tail (p10 < -45%),105,20,12,8,75.54,78.02,-74.52,-66.07,249.27,435.0,5,65,6,0,5,60.0
S166,GapDown strong call,3d ATM strong,watch,building sample (8-19 exits),51,8,8,0,113.61,75.23,63.34,67.08,194.5,436.0,2,65,0,0,3,62.5
S163,A1 GapDown ATM call EOD,7d ATM,watch,fat left tail (p10 < -45%),121,21,13,8,34.4,67.21,-74.47,-64.29,128.12,319.0,6,65,6,0,4,52.4
S410,RubberBand_OTM1,3d,watch,building sample (8-19 exits),32,9,6,3,31.77,65.28,-70.41,-48.44,101.53,181.0,5,49,4,0,2,88.9
S406,RubberBand_ITM3,3d,watch,fat left tail (p10 < -45%),191,97,65,32,164.31,63.16,-57.05,-45.0,880.19,3500.0,20,55,16,8,20,15.5
S397,GapDown_ITM1,3d,watch,fat left tail (p10 < -45%),156,37,27,10,38.79,61.9,-68.28,-53.97,115.78,952.0,11,55,10,0,14,21.6
S362,RubberBand_3DTE,3d,watch,fat left tail (p10 < -45%),127,53,40,13,152.16,60.47,-58.43,8.7,544.76,1679.0,12,55,4,2,9,24.5
S357,GapDown_21DTE,21d,watch,fat left tail (p10 < -45%),53,25,20,5,39.32,57.14,-74.18,47.06,78.22,532.0,10,55,0,0,5,32.0
S403,Any_MA50_Touch,3d,watch,fat left tail (p10 < -45%),141,60,40,20,49.92,50.93,-64.85,-48.79,183.66,1092.0,15,55,12,5,19,20.0
S404,GapDown_OTM2,3d,watch,fat left tail (p10 < -45%),172,65,41,24,24.84,50.77,-86.02,-41.89,109.55,1098.0,14,55,12,1,19,15.4
S353,GapDown_3DTE,3d,watch,fat left tail (p10 < -45%),108,37,19,18,88.04,48.98,-81.6,-69.7,313.33,247.0,11,55,0,0,9,27.0
S365,RubberBand_14DTE,14d,watch,fat left tail (p10 < -45%),59,27,15,12,17.48,48.0,-63.95,-51.2,75.87,117.0,10,55,4,1,6,44.4
S356,GapDown_14DTE,14d,watch,fat left tail (p10 < -45%),63,27,14,13,11.32,36.0,-51.16,-35.65,66.6,123.0,8,55,0,0,5,37.0
S218,BB_Lower_Touch,3d ATM BB lower touch,watch,fat left tail (p10 < -45%),212,100,52,48,40.68,29.29,-67.15,-49.32,150.35,1172.0,22,59,20,9,19,30.0
S361,RubberBand_2DTE,2d,watch,fat left tail (p10 < -45%),153,55,29,26,101.86,17.78,-67.78,-50.0,293.33,317.0,13,55,14,0,13,23.6
S412,RubberBand_OTM3,3d,watch,fat left tail (p10 < -45%),151,60,30,30,52.02,15.91,-52.2,-47.53,138.93,363.0,16,55,12,4,15,20.0
S350,GapDown_0DTE,0d,watch,fat left tail (p10 < -45%),103,45,24,21,58.69,15.0,-65.1,-51.35,232.57,714.0,11,55,4,0,9,28.9
S411,RubberBand_OTM2,3d,watch,fat left tail (p10 < -45%),150,50,28,22,1.24,7.9,-56.8,-51.32,65.6,1.0,13,52,12,4,14,18.0
S401,Any_Gap_Down_Small,3d,watch,fat left tail (p10 < -45%),268,129,65,64,60.6,6.94,-84.29,-50.98,241.28,1063.0,21,55,22,14,23,24.8
S398,GapDown_ATM,3d,watch,fat left tail (p10 < -45%),148,57,29,28,37.4,3.33,-68.29,-54.29,176.92,789.0,11,55,6,0,12,28.1
S358,GapDown_30DTE,30d,watch,insufficient sample (<8 exits),14,4,2,2,1.35,0.84,-51.39,-51.39,54.49,-21.0,3,51,0,0,2,50.0
S169,BB Squeeze Breakout call 3 DTE,3d ATM BB squeeze,watch,insufficient sample (<8 exits),0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,0,0.0
S170,Golden Pocket call 3 DTE,3d ATM golden pocket,watch,insufficient sample (<8 exits),0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,0,0.0
S171,VWAP Reclaim call 3 DTE,3d ATM VWAP reclaim,watch,insufficient sample (<8 exits),0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,0,0.0
S172,Trend Resumption call 3 DTE,3d ATM trend resume,watch,insufficient sample (<8 exits),0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,0,0.0
S175,Earnings Drift call 3 DTE,3d ATM earnings drift,watch,insufficient sample (<8 exits),0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,0,0.0
S200,GapDown_Aggressive,3d ATM gap-aggr,watch,insufficient sample (<8 exits),0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,0,0.0
S201,GapDown_Mild,3d ATM gap-mild,watch,insufficient sample (<8 exits),0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,0,0.0
S204,GapUp_Continuation,3d ATM gap-up cont,watch,insufficient sample (<8 exits),0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,0,0.0
S205,GapDown_HighVol,3d ATM gap-highvol,watch,insufficient sample (<8 exits),0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,0,0.0
