strategy_id,strategy_name,dte_profile,recommendation,rationale,entries,exits,wins,losses,avg_return_pct,med_return_pct,p10_return_pct,p25_return_pct,p90_return_pct,realized_usd,active_days,days_since_first_entry,entries_last_5d,exits_last_5d,unique_symbols,top_symbol_share_pct
S406,RubberBand_ITM3,3d,watch,fat left tail (p10 < -45%),137,63,42,21,190.8,66.67,-63.41,-50.0,965.79,3168.0,10,33,10,3,10,23.8
S397,GapDown_ITM1,3d,watch,fat left tail (p10 < -45%),105,23,19,4,49.98,57.53,-58.61,39.48,116.19,723.0,5,33,6,1,8,30.4
S357,GapDown_21DTE,21d,watch,building sample (8-19 exits),46,18,14,4,32.91,55.07,-67.86,47.06,73.68,323.0,7,33,6,0,3,44.4
S404,GapDown_OTM2,3d,watch,fat left tail (p10 < -45%),110,35,24,11,29.43,50.0,-91.67,-29.1,119.13,676.0,5,33,6,3,9,25.7
S403,Any_MA50_Touch,3d,watch,fat left tail (p10 < -45%),84,36,21,15,54.18,49.56,-71.78,-51.32,287.16,556.0,7,33,4,4,9,25.0
S218,BB_Lower_Touch,3d ATM BB lower touch,watch,fat left tail (p10 < -45%),147,63,35,28,53.69,36.36,-71.43,-50.53,163.34,898.0,11,37,14,3,11,39.7
S362,RubberBand_3DTE,3d,watch,fat left tail (p10 < -45%),105,37,26,11,88.32,34.88,-64.67,-30.43,117.72,1120.0,6,33,10,2,5,35.1
S350,GapDown_0DTE,0d,watch,fat left tail (p10 < -45%),77,35,18,17,38.0,11.76,-65.1,-54.17,179.86,446.0,6,33,2,0,5,37.1
S401,Any_Gap_Down_Small,3d,watch,fat left tail (p10 < -45%),188,92,46,46,52.94,3.47,-91.89,-49.27,227.27,894.0,10,33,8,0,12,34.8
S358,GapDown_30DTE,30d,watch,insufficient sample (<8 exits),14,4,2,2,1.35,0.84,-51.39,-51.39,54.49,-21.0,3,29,0,0,2,50.0
S163,A1 GapDown ATM call EOD,7d ATM,watch,insufficient sample (<8 exits),91,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,43,8,0,0,0.0
S166,GapDown strong call,3d ATM strong,watch,insufficient sample (<8 exits),36,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,43,0,0,0,0.0
S167,GapDown long call 3 DTE 1-OTM — P2C,3d 1-OTM,watch,insufficient sample (<8 exits),92,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,43,4,0,0,0.0
S168,GapDown ATM 5-DTE — P2B arm,5d ATM,watch,insufficient sample (<8 exits),76,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,43,8,0,0,0.0
S169,BB Squeeze Breakout call 3 DTE,3d ATM BB squeeze,watch,insufficient sample (<8 exits),0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,0,0.0
S170,Golden Pocket call 3 DTE,3d ATM golden pocket,watch,insufficient sample (<8 exits),0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,0,0.0
S171,VWAP Reclaim call 3 DTE,3d ATM VWAP reclaim,watch,insufficient sample (<8 exits),0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,0,0.0
S172,Trend Resumption call 3 DTE,3d ATM trend resume,watch,insufficient sample (<8 exits),0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,0,0.0
S175,Earnings Drift call 3 DTE,3d ATM earnings drift,watch,insufficient sample (<8 exits),0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,0,0.0
S200,GapDown_Aggressive,3d ATM gap-aggr,watch,insufficient sample (<8 exits),0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,0,0.0
S201,GapDown_Mild,3d ATM gap-mild,watch,insufficient sample (<8 exits),0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,0,0.0
S204,GapUp_Continuation,3d ATM gap-up cont,watch,insufficient sample (<8 exits),0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,0,0.0
S205,GapDown_HighVol,3d ATM gap-highvol,watch,insufficient sample (<8 exits),0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,0,0.0
