weak_mean,strong_mean,signal_mean,question,difference,horizon,iv_crush_impact,p_value,signal_net_pnl,n_signal,t,n_strong,n_weak,control_mean,control_net_pnl,n_control,diff
,,0.3325214978555201,Q1_Q2_call_return,0.27501941794162255,EOD,0.0,9.45002021187971e-13,,358,7.320169375802317,,,0.05750207991389756,,1074,
,,0.00643185339382828,Q1_Q2_call_return,-0.042301606364571614,1day,-0.15092480713508793,0.2999507307885807,,358,-1.0375177770155668,,,0.04873345975839989,,1074,
,,0.10752541209712371,Q1_Q2_call_return,-0.014879493156006299,3day,-0.09822813712444652,0.8530333168155526,,358,-0.18532093745376838,,,0.12240490525313001,,1074,
,,0.17848502190192114,Q1_Q2_call_return,-0.021883216098866454,5day,-0.04967171429235165,0.81528385781094,,358,-0.23370666456266873,,,0.2003682380007876,,1074,
,,,Q5_net_pnl,,EOD,,,115.47752386201493,,,,,,4.9524573881999645,,
,,,Q5_net_pnl,,1day,,,20.36681628629255,,,,,,-15.010969805693298,,
,,,Q5_net_pnl,,3day,,,76.59319261039705,,,,,,37.32033768352006,,
,,,Q5_net_pnl,,5day,,,99.40512401573818,,,,,,89.57894419066254,,
0.15336824378576297,0.47011592253461104,,Q4_strength,,EOD,,,,,,68,35,,,,0.31674767874884807
-0.02409505974043045,0.26259318136799975,,Q4_strength,,1day,,,,,,68,35,,,,0.2866882411084302
0.10283894515686351,0.2533656656588397,,Q4_strength,,3day,,,,,,68,35,,,,0.1505267205019762
0.07579202762390914,0.1697337478590184,,Q4_strength,,5day,,,,,,68,35,,,,0.09394172023510926
